# Step 0, Time: 0 s
Name Mass Px Py Pz Vx Vy Vz
     Dione 1.100000e+21 1.432627e+12 4.950747e+07 2.208146e-12 4.809077e+02 -5.567633e+02 4.089198e-16
    Tethys 6.170000e+20 1.432867e+12 -1.874116e+08 2.207278e-12 1.023033e+04 4.288684e+03 4.087537e-16
 Enceladus 1.080000e+20 1.432795e+12 1.710847e+08 2.207141e-12 -5.718570e+03 -1.828032e+03 4.087372e-16
     Mimas 3.750000e+19 1.432866e+12 -3.985262e+07 2.207192e-12 9.084259e+03 -2.587185e+03 4.087382e-16
   Miranda 6.590000e+19 2.877124e+12 5.967285e+07 2.565202e-13 -5.244050e+02 1.365670e+04 4.750405e-17
     Ariel 1.350000e+21 2.877180e+12 -9.501466e+06 2.565081e-13 1.772481e+03 1.213033e+04 4.750174e-17
   Umbriel 1.170000e+21 2.876852e+12 -1.709864e+08 2.566003e-13 3.883383e+03 4.190666e+03 4.751875e-17
   Titania 3.420000e+21 2.876937e+12 -3.820526e+08 2.565770e-13 3.604863e+03 6.272877e+03 4.751445e-17
    Oberon 3.000000e+21 2.877349e+12 5.156507e+08 2.564540e-13 -2.523687e+03 8.687228e+03 4.749186e-17
    Triton 2.140000e+22 4.502744e+12 -2.053352e+08 6.549876e-14 3.033585e+03 2.244827e+03 1.212945e-17
Asteroid_1 7.852970e+17 5.624516e+10 -6.240270e+09 2.825708e+09 5.341996e+03 4.813863e+04 -1.675821e+00

# Step 2, Time: 7.200000e+03 s
Name Mass Px Py Pz Vx Vy Vz
       Sun 1.989000e+30 2.190859e+01 4.020782e-03 6.330920e-08 3.042859e-03 8.400357e-07 8.792993e-12
   Mercury 3.301000e+23 5.789692e+10 5.169899e+08 2.887264e-05 -4.276642e+02 4.786873e+04 4.013044e-09
     Venus 4.867000e+24 1.081991e+11 3.782153e+08 7.973089e-08 -1.224586e+02 3.501986e+04 1.107911e-11
     Earth 5.972000e+24 1.495995e+11 3.216216e+08 1.402065e-08 -6.386480e+01 2.977965e+04 1.947819e-12
      Mars 6.417000e+23 2.278998e+11 2.606039e+08 2.270081e-09 -2.760044e+01 2.412999e+04 3.153318e-13
   Jupiter 1.898000e+27 7.785000e+11 1.411541e+08 3.055936e-11 -2.118714e+00 1.306974e+04 4.244497e-15
    Saturn 5.683000e+26 1.433000e+12 1.045436e+08 4.412796e-12 -7.048301e-01 9.679938e+03 6.129004e-16
    Uranus 8.681000e+25 2.877000e+12 7.343979e+07 5.131136e-13 -1.519020e-01 6.799972e+03 7.126666e-17
   Neptune 1.024000e+26 4.503000e+12 5.864343e+07 1.309746e-13 -1.632763e-01 5.429919e+03 1.819109e-17
      Moon 7.342000e+22 1.498149e+11 3.747607e+06 1.393761e-08 7.824672e+02 3.035320e+04 1.936210e-12
    Phobos 1.070000e+16 2.279070e+11 2.501696e+08 2.270177e-09 1.967807e+03 2.402358e+04 3.153314e-13
    Deimos 1.480000e+15 2.279168e+11 2.464191e+08 2.269812e-09 9.344496e+02 2.519294e+04 3.152870e-13
        Io 8.930000e+22 7.787827e+11 -1.538159e+08 3.053937e-11 1.307458e+04 2.525953e+04 4.241426e-15
    Europa 4.800000e+22 7.791293e+11 -7.583101e+07 3.048591e-11 4.535972e+03 2.615652e+04 4.234196e-15
  Ganymede 1.480000e+23 7.787325e+11 1.183394e+09 3.051743e-11 -1.064223e+04 1.544575e+04 4.238898e-15
  Callisto 1.080000e+23 7.774650e+11 1.712165e+09 3.068159e-11 -6.852236e+03 8.556824e+03 4.261622e-15
     Titan 1.345000e+23 1.433199e+12 -1.100614e+09 4.411376e-12 5.496972e+03 1.058862e+04 6.126943e-16
      Rhea 2.310000e+21 1.432821e+12 5.972450e+08 4.413839e-12 -8.010902e+03 6.769183e+03 6.130583e-16
   Iapetus 1.810000e+21 1.429655e+12 -1.112785e+09 4.445259e-12 1.114161e+03 6.616499e+03 6.174074e-16
     Dione 1.100000e+21 1.432632e+12 4.769312e+07 4.416363e-12 1.456666e+03 -5.039870e+02 6.133936e-16
    Tethys 6.170000e+20 1.432906e+12 -1.667655e+08 4.414511e-12 1.097914e+04 5.735028e+03 6.131204e-16
 Enceladus 1.080000e+20 1.432782e+12 1.603592e+08 4.414415e-12 -3.385951e+03 -2.979311e+03 6.131317e-16
     Mimas 3.750000e+19 1.432911e+12 -3.880534e+07 4.414310e-12 1.260924e+04 2.909116e+02 6.130883e-16
   Miranda 6.590000e+19 2.877117e+12 1.084206e+08 5.130480e-13 -1.863753e+03 1.354105e+04 7.125771e-17
     Ariel 1.350000e+21 2.877184e+12 3.481737e+07 5.130216e-13 1.217436e+03 1.231079e+04 7.125377e-17
   Umbriel 1.170000e+21 2.876867e+12 -1.550120e+08 5.132042e-13 4.048999e+03 4.437347e+03 7.127887e-17
   Titania 3.420000e+21 2.876950e+12 -3.590787e+08 5.131580e-13 3.620721e+03 6.381650e+03 7.127249e-17
    Oberon 3.000000e+21 2.877340e+12 5.467476e+08 5.129161e-13 -2.560528e+03 8.638045e+03 7.123946e-17
    Triton 2.140000e+22 4.502755e+12 -1.967670e+08 1.309985e-13 3.175450e+03 2.380050e+03 1.819436e-17
Asteroid_1 7.852970e+17 5.626386e+10 -6.066912e+09 2.825676e+09 5.194230e+03 4.815502e+04 -9.100157e+00

# Step 3, Time: 1.080000e+04 s
Name Mass Px Py Pz Vx Vy Vz
       Sun 1.989000e+30 3.651431e+01 1.008043e-02 1.055157e-07 4.057145e-03 1.683237e-06 1.172404e-11
   Mercury 3.301000e+23 5.789487e+10 6.893127e+08 4.815647e-05 -5.702169e+02 4.786745e+04 5.356618e-09
     Venus 4.867000e+24 1.081985e+11 5.042863e+08 1.329486e-07 -1.632781e+02 3.501971e+04 1.478271e-11
     Earth 5.972000e+24 1.495992e+11 4.288278e+08 2.337374e-08 -8.515112e+01 2.977951e+04 2.598079e-12
      Mars 6.417000e+23 2.278997e+11 3.474719e+08 3.783972e-09 -3.680055e+01 2.412998e+04 4.205253e-13
   Jupiter 1.898000e+27 7.785000e+11 1.882049e+08 5.093392e-11 -2.790647e+00 1.306968e+04 5.659601e-15
