# Step 0, Time: 0 s
Name Mass Px Py Pz Vx Vy Vz
   Jupiter 1.898000e+27 7.784999e+11 3.764073e+08 1.833847e-10 -5.355538e+00 1.306961e+04 1.132122e-14
    Saturn 5.683000e+26 1.433000e+12 2.787812e+08 2.647923e-11 -1.868868e+00 9.679826e+03 1.634623e-15
    Uranus 8.681000e+25 2.877000e+12 1.958389e+08 3.078863e-12 -3.946871e-01 6.799944e+03 1.900609e-16
   Neptune 1.024000e+26 4.503000e+12 1.563803e+08 7.858846e-13 -4.098144e-01 5.429759e+03 4.851297e-17
      Moon 7.342000e+22 1.498275e+11 5.505355e+08 8.371432e-08 6.479467e+02 3.039281e+04 5.171251e-12
    Phobos 1.070000e+16 2.279114e+11 7.032255e+08 1.362821e-08 -9.125815e+02 2.517289e+04 8.415830e-13
    Deimos 1.480000e+15 2.279175e+11 7.059213e+08 1.362683e-08 -6.185458e+02 2.550295e+04 8.415193e-13
        Io 8.930000e+22 7.788951e+11 3.828038e+08 1.832242e-10 8.677902e+02 3.156720e+04 1.131034e-14
    Europa 4.800000e+22 7.791567e+11 4.077319e+08 1.829355e-10 -5.539506e+02 2.708238e+04 1.129351e-14
  Ganymede 1.480000e+23 7.785372e+11 1.440118e+09 1.831832e-10 -1.093692e+04 1.346469e+04 1.131098e-14
  Callisto 1.080000e+23 7.773455e+11 1.860458e+09 1.841493e-10 -6.484822e+03 8.030032e+03 1.136974e-14
     Titan 1.345000e+23 1.433297e+12 -9.051610e+08 2.646881e-11 5.406371e+03 1.103750e+04 1.633897e-15
      Rhea 2.310000e+21 1.432687e+12 6.946495e+08 2.648814e-11 -6.890007e+03 4.545493e+03 1.635281e-15
   Iapetus 1.810000e+21 1.429675e+12 -9.934866e+08 2.667362e-11 1.163503e+03 6.635256e+03 1.646605e-15
     Dione 1.100000e+21 1.432709e+12 5.372868e+07 2.649913e-11 6.080717e+03 1.213435e+03 1.635757e-15
    Tethys 6.170000e+20 1.433116e+12 2.540467e+07 2.648489e-11 1.120963e+04 1.406842e+04 1.634759e-15
 Enceladus 1.080000e+20 1.432868e+12 1.144680e+08 2.648773e-11 1.003342e+04 -1.415987e+02 1.635018e-15
     Mimas 3.750000e+19 1.433162e+12 2.046484e+08 2.648110e-11 9.775252e+03 2.150392e+04 1.634426e-15
   Miranda 6.590000e+19 2.877021e+12 3.109931e+08 3.078584e-12 -7.052961e+03 8.892559e+03 1.900506e-16
     Ariel 1.350000e+21 2.877174e+12 2.583216e+08 3.078320e-12 -1.736641e+03 1.227014e+04 1.900287e-16
   Umbriel 1.170000e+21 2.876947e+12 -6.054639e+07 3.079317e-12 4.629920e+03 5.817156e+03 1.900848e-16
   Titania 3.420000e+21 2.877016e+12 -2.382807e+08 3.079057e-12 3.650559e+03 6.931508e+03 1.900697e-16
    Oberon 3.000000e+21 2.877292e+12 6.994874e+08 3.077731e-12 -2.730185e+03 8.381606e+03 1.899933e-16
    Triton 2.140000e+22 4.502819e+12 -1.458391e+08 7.860167e-13 3.789812e+03 3.148261e+03 4.852059e-17
Asteroid_1 7.852970e+17 5.634937e+10 -5.199294e+09 2.825111e+09 4.454659e+03 4.823017e+04 -4.622071e+01

# Step 8, Time: 2.880000e+04 s
Name Mass Px Py Pz Vx Vy Vz
       Sun 1.989000e+30 1.643142e+02 1.213924e-01 4.748190e-07 9.128552e-03 1.012314e-05 2.637842e-11
   Mercury 3.301000e+23 5.787691e+10 1.550805e+09 2.174963e-04 -1.282908e+03 4.785472e+04 1.211821e-08
     Venus 4.867000e+24 1.081934e+11 1.134627e+09 5.996592e-07 -3.673721e+02 3.501829e+04 3.337482e-11
     Earth 5.972000e+24 1.495966e+11 9.648493e+08 1.053104e-07 -1.915679e+02 2.977856e+04 5.856115e-12
      Mars 6.417000e+23 2.278985e+11 7.818105e+08 1.703857e-08 -8.280106e+01 2.412987e+04 9.470442e-13
   Jupiter 1.898000e+27 7.784999e+11 4.234580e+08 2.292375e-10 -5.983173e+00 1.306965e+04 1.273689e-14
    Saturn 5.683000e+26 1.433000e+12 3.136285e+08 3.309962e-11 -2.099495e+00 9.679803e+03 1.838996e-15
    Uranus 8.681000e+25 2.877000e+12 2.203187e+08 3.848622e-12 -4.430825e-01 6.799942e+03 2.138220e-16
   Neptune 1.024000e+26 4.503000e+12 1.759273e+08 9.823648e-13 -4.547279e-01 5.429723e+03 5.457782e-17
      Moon 7.342000e+22 1.498297e+11 6.599774e+08 1.046639e-07 6.208163e+02 3.040053e+04 5.819335e-12
    Phobos 1.070000e+16 2.279060e+11 7.924981e+08 1.703733e-08 -1.490370e+03 2.479795e+04 9.469767e-13
    Deimos 1.480000e+15 2.279143e+11 7.971359e+08 1.703564e-08 -9.100475e+02 2.533741e+04 9.468923e-13
        Io 8.930000e+22 7.788877e+11 4.962758e+08 2.290337e-10 -2.052147e+03 3.151999e+04 1.272487e-14
    Europa 4.800000e+22 7.791509e+11 5.050476e+08 2.286773e-10 -1.608641e+03 2.703213e+04 1.270605e-14
  Ganymede 1.480000e+23 7.784978e+11 1.487142e+09 2.289985e-10 -1.095182e+04 1.306237e+04 1.272646e-14
  Callisto 1.080000e+23 7.773225e+11 1.888999e+09 2.302009e-10 -6.406378e+03 7.928188e+03 1.279210e-14
     Titan 1.345000e+23 1.433317e+12 -8.651060e+08 3.308612e-11 5.383824e+03 1.112638e+04 1.838141e-15
      Rhea 2.310000e+21 1.432664e+12 7.095609e+08 3.311137e-11 -6.587099e+03 4.142047e+03 1.839785e-15
   Iapetus 1.810000e+21 1.429679e+12 -9.695858e+08 3.334251e-11 1.173335e+03 6.639107e+03 1.852468e-15
     Dione 1.100000e+21 1.432734e+12 6.032309e+07 3.312388e-11 6.879314e+03 1.831779e+03 1.840206e-15
    Tethys 6.170000e+20 1.433153e+12 8.181557e+07 3.310546e-11 1.047851e+04 1.566969e+04 1.839046e-15
 Enceladus 1.080000e+20 1.432911e+12 1.225952e+08 3.310931e-11 1.195862e+04 2.257548e+03 1.839326e-15
     Mimas 3.750000e+19 1.433183e+12 2.884995e+08 3.310036e-11 5.865728e+03 2.329199e+04 1.838683e-15
   Miranda 6.590000e+19 2.876995e+12 3.376203e+08 3.848317e-12 -7.328717e+03 7.396447e+03 2.138147e-16
     Ariel 1.350000e+21 2.877166e+12 3.017551e+08 3.847953e-12 -2.309374e+03 1.206485e+04 2.137871e-16
   Umbriel 1.170000e+21 2.876964e+12 -3.853270e+07 3.849165e-12 4.691823e+03 6.114913e+03 2.138467e-16
   Titania 3.420000e+21 2.877029e+12 -2.129296e+08 3.848846e-12 3.646534e+03 7.041981e+03 2.138304e-16
    Oberon 3.000000e+21 2.877282e+12 7.294694e+08 3.847220e-12 -2.761108e+03 8.328344e+03 2.137471e-16
    Triton 2.140000e+22 4.502833e+12 -1.338931e+08 9.825266e-13 3.891658e+03 3.318347e+03 5.458610e-17
Asteroid_1 7.852970e+17 5.636487e+10 -5.025616e+09 2.824918e+09 4.306607e+03 4.824383e+04 -5.364411e+01

# Step 9, Time: 3.240000e+04 s
Name Mass Px Py Pz Vx Vy Vz
       Sun 1.989000e+30 2.008284e+02 1.669536e-01 5.803311e-07 1.014283e-02 1.265589e-05 2.930892e-11
   Mercury 3.301000e+23 5.787178e+10 1.723068e+09 2.660215e-04 -1.425422e+03 4.785091e+04 1.347921e-08
     Venus 4.867000e+24 1.081919e+11 1.260692e+09 7.332454e-07 -4.081899e+02 3.501786e+04 3.710725e-11
     Earth 5.972000e+24 1.495958e+11 1.072051e+09 1.287427e-07 -2.128483e+02 2.977833e+04 6.508965e-12
      Mars 6.417000e+23 2.278982e+11 8.686779e+08 2.082738e-08 -9.200113e+01 2.412984e+04 1.052447e-12
   Jupiter 1.898000e+27 7.784999e+11 4.705090e+08 2.801871e-10 -6.614027e+00 1.306971e+04 1.415267e-14
    Saturn 5.683000e+26 1.433000e+12 3.484757e+08 4.045578e-11 -2.329359e+00 9.679780e+03 2.043378e-15
    Uranus 8.681000e+25 2.877000e+12 2.447985e+08 4.703924e-12 -4.917673e-01 6.799941e+03 2.375837e-16
   Neptune 1.024000e+26 4.503000e+12 1.954742e+08 1.200679e-12 -4.980468e-01 5.429687e+03 6.064281e-17
      Moon 7.342000e+22 1.498319e+11 7.694469e+08 1.279478e-07 5.936116e+02 3.040817e+04 6.467746e-12
    Phobos 1.070000e+16 2.278987e+11 8.791033e+08 2.082616e-08 -2.019092e+03 2.405700e+04 1.052452e-12
    Deimos 1.480000e+15 2.279101e+11 8.875487e+08 2.082395e-08 -1.148087e+03 2.511466e+04 1.052308e-12
        Io 8.930000e+22 7.788699e+11 6.078018e+08 2.799373e-10 -4.931645e+03 3.097946e+04 1.413988e-14
    Europa 4.800000e+22 7.791413e+11 6.018890e+08 2.795053e-10 -2.660890e+03 2.690041e+04 1.411890e-14
  Ganymede 1.480000e+23 7.784584e+11 1.532716e+09 2.799107e-10 -1.095182e+04 1.265928e+04 1.414229e-14
  Callisto 1.080000e+23 7.772997e+11 1.917178e+09 2.813738e-10 -6.326322e+03 7.827577e+03 1.421468e-14
     Titan 1.345000e+23 1.433336e+12 -8.247323e+08 4.043871e-11 5.359811e+03 1.121491e+04 2.042385e-15
      Rhea 2.310000e+21 1.432641e+12 7.230833e+08 4.047086e-11 -6.259730e+03 3.756217e+03 2.044304e-15
   Iapetus 1.810000e+21 1.429684e+12 -9.456710e+08 4.075252e-11 1.183153e+03 6.642992e+03 2.058337e-15
     Dione 1.100000e+21 1.432761e+12 6.943067e+07 4.048458e-11 7.612085e+03 2.529885e+03 2.044640e-15
    Tethys 6.170000e+20 1.433188e+12 1.435324e+08 4.046142e-11 9.503068e+03 1.714357e+04 2.043323e-15
 Enceladus 1.080000e+20 1.432959e+12 1.407663e+08 4.046629e-11 1.325542e+04 5.047512e+03 2.043607e-15
     Mimas 3.750000e+19 1.433190e+12 3.743042e+08 4.045504e-11 1.909150e+03 2.383465e+04 2.042967e-15
   Miranda 6.590000e+19 2.876969e+12 3.588061e+08 4.703607e-12 -7.262267e+03 5.884935e+03 2.375806e-16
     Ariel 1.350000e+21 2.877156e+12 3.442211e+08 4.703122e-12 -2.857212e+03 1.179611e+04 2.375469e-16
   Umbriel 1.170000e+21 2.876981e+12 -1.543093e+07 4.704557e-12 4.734336e+03 6.417158e+03 2.376087e-16
   Titania 3.420000e+21 2.877042e+12 -1.871810e+08 4.704175e-12 3.639158e+03 7.152386e+03 2.375914e-16
    Oberon 3.000000e+21 2.877272e+12 7.592575e+08 4.702227e-12 -2.790998e+03 8.274470e+03 2.375019e-16
    Triton 2.140000e+22 4.502847e+12 -1.213176e+08 1.200873e-12 3.985874e+03 3.493184e+03 6.065169e-17
Asteroid_1 7.852970e+17 5.637984e+10 -4.851891e+09 2.824698e+09 4.158512e+03 4.825704e+04 -6.106710e+01
